,Distritos,1991,1996,2001,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CIUTAT VELLA,CIUTAT VELLA,27010,24027,24167,26373,26221,26472,26769,26810,27259,27070,27418,27525.0,27983.0,28763.0
L'EIXAMPLE,L'EIXAMPLE,46885,45082,43198,42840,42411,42180,42406,42615,42778,42618,42826,42853.0,42672.0,43565.0
EXTRAMURS,EXTRAMURS,52448,49670,48773,49001,48302,48208,48287,48475,48762,48617,48877,48728.0,48536.0,49335.0
CAMPANAR,CAMPANAR,31178,30220,28967,36807,36889,37084,37562,37774,38164,38338,38736,38674.0,39164.0,39846.0
LA SAIDIA,LA SAIDIA,48824,46830,47538,47617,46873,46718,46818,46891,47383,47092,47491,47274.0,47013.0,47499.0
EL PLA DEL REAL,EL PLA DEL REAL,31545,30401,30376,30858,30428,30124,30116,30362,30706,30538,30644,30667.0,30444.0,30680.0
L'OLIVERETA,L'OLIVERETA,51468,48905,47862,48635,48186,48105,48221,48311,48639,48550,49250,49186.0,48686.0,49584.0
PATRAIX,PATRAIX,51415,54648,57197,57629,57352,57356,57573,57630,57972,57783,58053,57833.0,57798.0,58333.0
JESUS,JESUS,51183,50129,50097,52395,52019,51943,52261,52226,52708,52623,52917,52489.0,51941.0,52585.0
QUATRE CARRERES,QUATRE CARRERES,68269,67917,69164,73132,72916,73067,73664,73769,74116,73915,74518,74308.0,74555.0,76572.0
POBLATS MARITIMS,POBLATS MARITIMS,58643,58824,58376,58539,57893,57710,57590,56643,56923,55843,55725,55760.0,55486.0,55897.0
CAMINS AL GRAU,CAMINS AL GRAU,48047,49151,52402,64746,64245,64536,65119,65320,65927,65451,65890,65981.0,65552.0,66245.0
ALGIROS,ALGIROS,40823,41654,40912,37849,37322,37210,37191,37043,37170,36711,36657,36390.0,35874.0,35819.0
BENIMACLET,BENIMACLET,27891,29253,29924,29046,28926,28868,29096,29038,29091,28718,28686,28575.0,28064.0,28317.0
RASCANYA,RASCANYA,44117,43758,43427,52644,52000,52210,52749,52764,53499,53570,54233,54130.0,53566.0,54605.0
BENICALAP,BENICALAP,36941,38749,39465,44881,44644,44931,45460,45638,46359,46699,47421,47385.0,47752.0,48706.0
